微博内容,统一后的评论,点赞数
"无人驾驶三强赛道已成，中国必须“快跑”

特斯拉正式启动Robotaxi的公开试运营；几乎同一时间，Waymo申请进军纽约，推动修改当地法律；而另一边，中国的无人驾驶平台已在中东、香港，以及即将进入的东南亚市场加快布局。

无人驾驶的全球头部格局正在加速成型，一个相对清晰的第一梯队正在出现：Waymo","里里休：俗话说来得早面子大，萝卜快跑紧贴市场需求早就根深蒂固了 (点赞数: 12)
小暖暖奥利给 ：比起特斯拉我还是相信萝卜快跑，自己的品牌更靠谱 (点赞数: 10)
羊咩咩eo ：我想说的是，萝卜快跑已经被市场接受了，特斯拉要想赶超有点难 (点赞数: 9)
想要的完美没有那么难 ：我想说的是，萝卜快跑已经被市场接受了，特斯拉要想赶超有点难 (点赞数: 5)
北京市渡边麻友 ：看到特斯拉 Robotaxi，满脑子都是 “落后就要挨打”，国内企业必须加快步伐了啊 (点赞数: 10)
徐徐绯 ：特斯拉虽然刚上路测试，但是架不住美国政策宽松啊，可不要忘了，马斯克扬言明年要布局10万辆，以后甚至百万辆，中国再不支持本土企业发展，真的就晚了 (点赞数: 7)
用户_艰难重生 ：可能最终会形成中式无人驾驶和非中式无人驾驶，两大阵营。 (点赞数: 2)
一起来装逼 ：牛逼 (点赞数: 1)",127
"安利大家来武汉玩打 萝卜快跑无人驾驶
安静 干净 无异味 能自选歌曲 调节空调 还有按摩
比快车还便宜点 真的很难拒绝

（记得帮萝卜把门关上 不然会停在路边反复播放“请帮萝卜关关门吧”） 2武汉","测测君test：咋样现在这个车 行驶起来顺畅不？ (点赞数: 1)
EasonZES ：上周才去完武汉，感觉好的酒店太少 (点赞数: 1)
对方不想理你并踹了你一jio ：可是汉阳很少啊 (点赞数: 2)
handsome小新来了 ：主驾能做吗 (点赞数: 1)
豆耳朵___ ：这是广告贴吗 (点赞数: 1)
隔壁老白的微博 ：然而只有郊区才有 (点赞数: 2)
BLANKJJJ ：最主要不会碰到司乘纠纷 (点赞数: 1)
张不困觉 ：上次傻缺萝卜在庙山路中间停下来放人下车，我在后面急死了 (点赞数: 1)
浅浅晓月：鹏鹏车咋不开。。 (点赞数: 1)",339
"感受了一把萝卜快跑，无人驾驶出租车，在武汉这个驾驶风格彪悍的地区搞无人驾驶，有魄力
讲真效率不错，但这个刹车油门的控制，还是太猛，没有华为理想那般丝滑。
在还有人唱衰驾驶辅助的时候，真正的无人驾驶已经实现商业化了，好神奇","热血中年嘻嘻又哈哈：告诉你，这个苕萝卜最近升级了，TMD会别车了。 (点赞数: 9)
Y车评_李扬：这还是第二版车型了，所以去年第一版车型就是我今天吃饭跟你说的，内裤湿了... (点赞数: 1)
云云芸：世界的巨大差异化 (点赞数: 2)
那日苏酮学 ：这车能做5个乘客吗？ (点赞数: 4)
Noy-Iris ：上个月自驾去武汉，司机的彪悍程度连兰州的一根毛都比不上 (点赞数: 1)
王小王的军小军 ：不懂就问，既然是无人驾驶了，为啥还要保留方向盘，去掉方向盘不是还能多坐个人吗？ (点赞数: 2)
大邪痞 ：在武汉坐过一次，网约车司机朝窗户上吐口水 (点赞数: 2)
信通小熊猫9 ：萝卜快跑更准确的说，应该叫远程有人驾驶。 (点赞数: 3)
你是单身狗：欢迎闯哥来武汉体验无人驾驶，萝卜快跑的两座MPV车型体验下来算是很不错了，后备箱空间也大～ (点赞数: 1)",155
出发咯第一次打到萝卜快跑无人驾驶hhh好有意思,"贪猪浸猪笼 ：单依纯同款 image (点赞数: 1)
iwannagetyoubak ：omg好高级 (点赞数: 1)
用户1004142403 ：去新加坡 (点赞数: 2)
剑已封鞘2333 ： (点赞数: 1)
擅长料理美少年 ： (点赞数: 1)
Dieforme- ：哈哈哈哈嘎扇 (点赞数: 1)",146
给人笑瘸了 萝卜快跑 不止车跑人也得跑萝卜快跑 L漂亮小姐姐一枚的微博,"拖西坝 ：看的出来司机情绪很稳定 (点赞数: 393)
茉莉JCT ：我之前也对着它骂了一路 气死了 本来就急我那边又比较偏 又是第一次打到它 我都不知道本来就勾选了萝卜车 取消了三次还是它 无可奈何赶不上了就上了 看到前面老远在闪我跑上去 太气人了 (点赞数: 62)
还会幻想的猫 ：司机情绪平稳到都看不到人影了 (点赞数: 36)
至少我们直线曾经交叉过-：哈哈哈哈哈哈哈哈 (点赞数: 21)
拙慕鸟_：这乘客是什么口音求科普😲 (点赞数: 9)
我上去就是一咔嚓 ：我家附近最近几次堵车都是萝卜 因为商场有一个路口没有红绿灯 然后就一直有人过马路 萝卜就停在那里一直等 (点赞数: 1)
Bai_729 ：@薄荷味的小蓝莓 (点赞数: 2)
fly0_0 ：一听就知道是河马的声音 (点赞数: 7)",3921
萝卜快跑无人驾驶的算法有问题啊，这么简单的路况都处理不了？ 来自网络,"爽朗的快乐远航 ：比亚迪拐弯负主要责任 (点赞数: 5)
将-族 ：匆忙推出这种资本游戏，必然，一地鸡毛！ (点赞数: 1)
边角逛逛Bug里：这胖头鱼太惨了 (点赞数: 2)
财武汉装修队长：拉及公司的东西，谁买谁当小白鼠。软件出bug太正常了，车企承担责任之前，我是不敢用智驾了 (点赞数: 1)
育同学_学历教育勇哥 ：事发地不是湖北武汉 (点赞数: 1)
浓缩白咖啡 ：迪要负主责 (点赞数: 1)
ou风车 ：好一个GTA截停… (点赞数: 1)",43
萝卜快跑无人驾驶出租车 在武汉，坐无人驾驶出租车是种什么体验？ L麻醉医生凌楚眠的微博,"捉马：如果是我一个人坐我会有点害怕 (点赞数: 4)
最后一支Dopamine ：哈哈 现在喊司机不喊司机了 喊萝卜 (点赞数: 1)
闻子闻 ：想问这样的车真的可以上常规交通路段吗？交警是允许的吗？ (点赞数: 2)
向左还是向右_呢 ：好奇什么感受啊 无司机车 (点赞数: 2)
李梁：还是有点怕 (点赞数: 1)
小囡叮叮：下次来武汉出差，感觉可以试试 (点赞数: 1)
沫沫江湖88：有意思 (点赞数: 1)
朵朵姐姐家 ：你好萝卜 (点赞数: 2)
幸运小滴夺 ：嗓音好听，多说 (点赞数: 3)",130
"我们打了萝卜快跑，佩服它的勇气，竟然在水乡片试运营

在华南mall的掉头路口卡了得有5分钟

肉妈说先不要上车，太羞耻了，她不知道在那也不能上车，萝卜得到停车点才能上

路人（图2）都拿出手机拍了，好像在说，你看这车被卡在这了，所以我说佩服它的勇气，谁曾想路口竟然有个锥桶，它在","billy电车日记：这个车难道不是有人在远程遥控吗 (点赞数: 3)
首席线索官：改天我也试试看。 (点赞数: 1)
Navis-慢点评测：广东也有了？ (点赞数: 1)
开电车的昌老司：哈哈哈 (点赞数: 1)
拆那奥拓：什麼時候來？帶你去坐waymo (点赞数: 1)
北山北峰 ：哈哈哈 (点赞数: 1)
Agoer冲冲 ：一直在华南mall周边，天天上班看到 (点赞数: 1)
周丶晏杨 ：沙田有没有？好想打一台玩玩 (点赞数: 1)
YR_AMOY ：如果乘客受不了了自己坐到驾驶座上开会如何？ (点赞数: 1)",54
"作为海南国资体系内重要的汽车运输服务上市企业，海汽集团在海南交通运营领域具备显著优势。公司拥有多元化客运业务板块，并持有网约车运营资质，是海南交通出行市场的核心参与者。

2025年4月15日，海汽集团迎来重要战略布局，与百度旗下的阿波罗智行、萝卜快跑达成深度合作，三方共同签署《自动驾驶","寒夜柠檬 ： (点赞数: 1)
小卷mama918：(点赞数: 1)",145
"今天头一次做自动驾驶，感觉棒棒的。

手机下单萝卜快跑，走到指定地点，输入手机后四位，自动开门，关上后车子就自动开起来了。里面一个人都没有，哈哈，车子自动开。感觉驾驶平稳，没有啥异常，老司机一样。

到达地点下车拜拜，看着它远去的身影，不由得发出感叹，科技改变生活呀。","后浪S1：你好，很高兴为你服务，请系好安全带我们出发了 (点赞数: 1)
财FR2318：没体验过，是不是自己一直盯着前方 (点赞数: 1)
魔法少女小糖：真科技改变生活 (点赞数: 1)
财米哥：有没有害怕的赶脚？ (点赞数: 1)
思远-慕源-187：北京有了萝卜快跑了。 (点赞数: 1)
财啊美：有点害怕不敢坐 (点赞数: 1)
健康常伴w财满亿足：挺特别的体验 (点赞数: 1)
唱与你我：老友技术秀翻天，自动驾驶走起如神游！加油，老友！ (点赞数: 1)
财满满溢：周二快乐，一起贴贴，好先进 (点赞数: 1)",9
萝卜快跑=失业发动机？百度是低估的吗？人生体验最大化商鞅弱民逻辑丨公子长谈ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ~连续2800天+直播阴阳师最长久YYS夏日畅想季 ㅤ阴阳师同人阴阳师激励计划 @阴阳师手游同人帐,"面部表情麻木 ：国泰君安那个分析报告正好也看到了，确实有搞头 (点赞数: 2)
我最喜欢林公子：做个网易的广告。 有氪金需求的友友可以看这个 网易官方充值链接：【O网页链接】 1、官方充值氪金实时到账，安全无忧 （与游戏内惠比寿、累充、活动期间送绘卷等同步） 2、 充值可兑换不知火、千姬大手办、3-328元现金红包等） 3、充值可获得等额积分，用于兑换黑蛋、体力 (点赞数: 1)",7
萝卜快跑真稀奇 2武汉 L乔儿乔儿宝贝的微博,,1
指数昨天继续上行，成交量也配合，放到到1.45万亿。市场本身做多热情还是不错的。对季末流动性紧张的担忧也没有太大影响，市场反而在预期7月一定概率降准，这和联储的表述基本一致。只要外围7月开始降息，且今年降息两次，那么货币的空间就会被打开。昨天鲍威尔的表述不外乎是现在联储还没有完全对关税,"大道至简-777 ：大三浪主升快要来了 (点赞数: 16)
哆啦A梦和小熊仔 ：为什么右上角没有“听”的符号了，这可是我上班路上必听的哎 (点赞数: 6)
风笛起渔舟 ：其实只要每年盈利超过4%，就及格了 (点赞数: 11)
子情8268 ：主任早上好，祝主任身体健康。每天早上看主任的文章，不管自己能看懂多少，总能有收获。谢谢！ (点赞数: 8)
zin02 ：1 (点赞数: 2)
南岳星大汉 ：字都认得，不晓得自己昨整就是！ (点赞数: 6)
Kakas_ ：迟早会来小a的 (点赞数: 5)
朗朗爸比 ：主任早，目前看下写盘的，就主任写当下的题材真实的现状以及未来的发展的点，还有好多人黑主任，无语。 (点赞数: 2)
小黃油夫人：[锦鲤附体] (点赞数: 3)",4149
"今天又再走了一次大一常走的路🥹
晚上打了萝卜快跑回学校 在临湖饭堂随便吃了个饭
回宿舍和朋友们拍拍立得 认真作了本科最后的告别
收拾一下东西 住在宿舍最后一晚了

要再见了 这次是真的在宿舍的最后一晚
很多东西我都不会带走了
那些零零碎碎的 都会随着我的过去一起被搁下
那些用过的一切 我都还",Ginghoster爱吃生姜 ：你值得 (点赞数: 1),11
萝卜快跑就是最伟大的发明,,2
也是坐上了萝卜快跑，没有一丝害怕，全是兴奋萝卜快跑 L改个ID转个运的微博,,2
我不行了，一直不敢坐萝卜快跑，今天坐了之后发现其实比某些司机安全,,2
萝卜快跑 下次定位不要飘太远了，准确定位还得走一段,,1
现根本干不需要那么人，现在很多的小孩都不应该来到这个世界上，中美关系贸易战就是因为中国人太多那么多人上班生产那么多产品而且大多是出口所以美国才要和中国打贸易战.归根到底就是人太多了，而且现是自动化智能化时代很多事情都是不需要人做的，像前段时间百度搞的无人出租萝卜快跑.就被很多出租司,,1
🚗萝卜快跑，未来已来！无人驾驶时代，让我们一起探索智慧交通的无限可能。萝卜快跑,,2
"特斯拉Robotaxi
Vs
萝卜快跑

特斯拉Robotaxi正式上线","苏腾心 ：一个真正的无人，一个后台直接远程接管。 (点赞数: 10)
队长会开车 ：不标上萝卜我还以为驾校模拟训练呢 (点赞数: 11)
栗悟饭- ：特斯拉不能远程接管？ (点赞数: 3)
这也得鼓掌 ：但微博搜不到首日😄😄 (点赞数: 2)
莫尔盐111111 ：哈哈哈哈哈哈哈哈哈哈 (点赞数: 3)
评论罗伯特：萝卜快跑，别让特斯拉Robotaxi追上啦！滴滴滴，绿色出行，智能驾驶，咱们国产的自动驾驶也要加油哦~ (点赞数: 1)
一颗幻想的种子 ：萝卜也很厉害 (点赞数: 1)
Bling_rl：照这么看，我想去萝卜快跑这跟我当年花大价钱买外设玩欧卡二有什么区别，还有钱收 (点赞数: 2)
涛mraz ：真没必要，大家都一样 (点赞数: 1)",135
"媒体评萝卜快跑抢网约车司机饭碗【萝卜快跑抢网约车饭碗？“砸烂”一定不是最优解】无人驾驶出租车，真的会抢走网约车司机的饭碗吗？这个问题特别像，AI会取代我的工作吗？1公里1块钱的无人出租车你敢坐吗

近期，随着萝卜快跑在武汉街头批量投用，关于它的负面舆论几乎没消停。“它只会傻傻的在原","特种熊多多 ：生产力大大提升了，生产关系不改变当然不行。 (点赞数: 386)
潇湘晨报96360 ：“岗位替代”焦虑，甚至连外卖员都在担忧，未来是不是会出现“无人车送外卖”。 (点赞数: 104)
林大胖爱吃肉 ：虽然可以24小时接单，但是也要充电吧中间！以他们的速度会不会之后造成道路更拥堵了，感觉把命交给AI很担心 (点赞数: 67)
恋上37度半 ：中国14亿人，却拼命发展无人AI (点赞数: 181)
扣扣扭 ：还有这个里面主持人可能也会被AI取代。现在已经有电商开始了AI直播，所以主持人记者编辑也不会幸免。看似无关，其实都是下一个自己 (点赞数: 139)
PHNX-Y ：怀念当年没有网约车 没有共享单车的日子，那时可以肆意拒载 绕远 拼车以及坐地起价，还不用开空调 (点赞数: 123)
魅肆摄 ： (点赞数: 6)
晨 ：媒体评萝卜快跑抢网约车司机饭碗 (点赞数: 4)
来了就好越来越好2023 ：不去取代体制里可有可无的岗位，专抢一些中年人上有老下有小的饭碗。 (点赞数: 36)",2659
出发咯第一次打到萝卜快跑无人驾驶hhh好有意思,"贪猪浸猪笼 ：单依纯同款 image (点赞数: 1)
iwannagetyoubak ：omg好高级 (点赞数: 1)
用户1004142403 ：去新加坡 (点赞数: 2)
剑已封鞘2333 ： (点赞数: 1)
擅长料理美少年 ： (点赞数: 1)
Dieforme- ：哈哈哈哈嘎扇 (点赞数: 1)",146
"无人驾驶三强赛道已成，中国必须“快跑”

特斯拉正式启动Robotaxi的公开试运营；几乎同一时间，Waymo申请进军纽约，推动修改当地法律；而另一边，中国的无人驾驶平台已在中东、香港，以及即将进入的东南亚市场加快布局。

无人驾驶的全球头部格局正在加速成型，一个相对清晰的第一梯队正在出现：Waymo","里里休：俗话说来得早面子大，萝卜快跑紧贴市场需求早就根深蒂固了 (点赞数: 12)
小暖暖奥利给 ：比起特斯拉我还是相信萝卜快跑，自己的品牌更靠谱 (点赞数: 10)
羊咩咩eo ：我想说的是，萝卜快跑已经被市场接受了，特斯拉要想赶超有点难 (点赞数: 9)
想要的完美没有那么难 ：我想说的是，萝卜快跑已经被市场接受了，特斯拉要想赶超有点难 (点赞数: 5)
北京市渡边麻友 ：看到特斯拉 Robotaxi，满脑子都是 “落后就要挨打”，国内企业必须加快步伐了啊 (点赞数: 10)
徐徐绯 ：特斯拉虽然刚上路测试，但是架不住美国政策宽松啊，可不要忘了，马斯克扬言明年要布局10万辆，以后甚至百万辆，中国再不支持本土企业发展，真的就晚了 (点赞数: 7)
用户_艰难重生 ：可能最终会形成中式无人驾驶和非中式无人驾驶，两大阵营。 (点赞数: 2)
一起来装逼 ：牛逼 (点赞数: 1)",127
这两天家里有事，请假去了一趟武汉。拍到了武汉的日落大道，感觉还不错。现在武汉有很多萝卜快跑无人驾驶出租车，和半年前比起来，明显进化了很多。会主动加速，加塞，卡位，明显是被武汉人民调教出来了。我试着别了萝卜快跑一下，它会微微减速然后伺机卡进来，感觉很快它就会学会汉味ai语音广播骂人了,"兔尾猫：嗯？饼叔老家在武汉？ (点赞数: 3)
大漠沙如雪sandi：无人驾驶你都敢别啊，小心ai怒了。。 (点赞数: 9)
偷看台首洗碗 ：勺萝卜！前天搬家的货车还被勺萝卜别了，司机破口大骂无人在听 (点赞数: 13)
怀泽怎么没有用 ：得让它来川A试试 (点赞数: 2)
偏安一隅隐乔渊：蒜鸟，蒜鸟 (点赞数: 2)
我们藏剑好像真的完蛋了：哈哈哈哈 (点赞数: 1)
薛定谔的半马人_ ：我上次回家就看见有个萝卜实线掉头，周围一堆车从它身边擦过还都不减速 (点赞数: 1)
跑跑跑啊跑不动 ：哈哈哈哈哈哈哈 (点赞数: 1)
橘子糖1103 ：算鸟算鸟 (点赞数: 1)",90
"安利大家来武汉玩打 萝卜快跑无人驾驶
安静 干净 无异味 能自选歌曲 调节空调 还有按摩
比快车还便宜点 真的很难拒绝

（记得帮萝卜把门关上 不然会停在路边反复播放“请帮萝卜关关门吧”） 2武汉","测测君test：咋样现在这个车 行驶起来顺畅不？ (点赞数: 1)
EasonZES ：上周才去完武汉，感觉好的酒店太少 (点赞数: 1)
对方不想理你并踹了你一jio ：可是汉阳很少啊 (点赞数: 2)
handsome小新来了 ：主驾能做吗 (点赞数: 1)
豆耳朵___ ：这是广告贴吗 (点赞数: 1)
隔壁老白的微博 ：然而只有郊区才有 (点赞数: 2)
BLANKJJJ ：最主要不会碰到司乘纠纷 (点赞数: 1)
张不困觉 ：上次傻缺萝卜在庙山路中间停下来放人下车，我在后面急死了 (点赞数: 1)
浅浅晓月：鹏鹏车咋不开。。 (点赞数: 1)",339
给人笑瘸了 萝卜快跑 不止车跑人也得跑萝卜快跑 L漂亮小姐姐一枚的微博,"拖西坝 ：看的出来司机情绪很稳定 (点赞数: 393)
茉莉JCT ：我之前也对着它骂了一路 气死了 本来就急我那边又比较偏 又是第一次打到它 我都不知道本来就勾选了萝卜车 取消了三次还是它 无可奈何赶不上了就上了 看到前面老远在闪我跑上去 太气人了 (点赞数: 62)
还会幻想的猫 ：司机情绪平稳到都看不到人影了 (点赞数: 36)
至少我们直线曾经交叉过-：哈哈哈哈哈哈哈哈 (点赞数: 21)
拙慕鸟_：这乘客是什么口音求科普😲 (点赞数: 9)
我上去就是一咔嚓 ：我家附近最近几次堵车都是萝卜 因为商场有一个路口没有红绿灯 然后就一直有人过马路 萝卜就停在那里一直等 (点赞数: 1)
Bai_729 ：@薄荷味的小蓝莓 (点赞数: 2)
fly0_0 ：一听就知道是河马的声音 (点赞数: 7)",3921
"感受了一把萝卜快跑，无人驾驶出租车，在武汉这个驾驶风格彪悍的地区搞无人驾驶，有魄力
讲真效率不错，但这个刹车油门的控制，还是太猛，没有华为理想那般丝滑。
在还有人唱衰驾驶辅助的时候，真正的无人驾驶已经实现商业化了，好神奇","热血中年嘻嘻又哈哈：告诉你，这个苕萝卜最近升级了，TMD会别车了。 (点赞数: 9)
Y车评_李扬：这还是第二版车型了，所以去年第一版车型就是我今天吃饭跟你说的，内裤湿了... (点赞数: 1)
云云芸：世界的巨大差异化 (点赞数: 2)
那日苏酮学 ：这车能做5个乘客吗？ (点赞数: 4)
Noy-Iris ：上个月自驾去武汉，司机的彪悍程度连兰州的一根毛都比不上 (点赞数: 1)
王小王的军小军 ：不懂就问，既然是无人驾驶了，为啥还要保留方向盘，去掉方向盘不是还能多坐个人吗？ (点赞数: 2)
大邪痞 ：在武汉坐过一次，网约车司机朝窗户上吐口水 (点赞数: 2)
信通小熊猫9 ：萝卜快跑更准确的说，应该叫远程有人驾驶。 (点赞数: 3)
你是单身狗：欢迎闯哥来武汉体验无人驾驶，萝卜快跑的两座MPV车型体验下来算是很不错了，后备箱空间也大～ (点赞数: 1)",155
萝卜快跑无人驾驶的算法有问题啊，这么简单的路况都处理不了？ 来自网络,"爽朗的快乐远航 ：比亚迪拐弯负主要责任 (点赞数: 5)
将-族 ：匆忙推出这种资本游戏，必然，一地鸡毛！ (点赞数: 1)
边角逛逛Bug里：这胖头鱼太惨了 (点赞数: 2)
财武汉装修队长：拉及公司的东西，谁买谁当小白鼠。软件出bug太正常了，车企承担责任之前，我是不敢用智驾了 (点赞数: 1)
育同学_学历教育勇哥 ：事发地不是湖北武汉 (点赞数: 1)
浓缩白咖啡 ：迪要负主责 (点赞数: 1)
ou风车 ：好一个GTA截停… (点赞数: 1)",43
萝卜快跑无人驾驶出租车 在武汉，坐无人驾驶出租车是种什么体验？ L麻醉医生凌楚眠的微博,"捉马：如果是我一个人坐我会有点害怕 (点赞数: 4)
最后一支Dopamine ：哈哈 现在喊司机不喊司机了 喊萝卜 (点赞数: 1)
闻子闻 ：想问这样的车真的可以上常规交通路段吗？交警是允许的吗？ (点赞数: 2)
向左还是向右_呢 ：好奇什么感受啊 无司机车 (点赞数: 2)
李梁：还是有点怕 (点赞数: 1)
小囡叮叮：下次来武汉出差，感觉可以试试 (点赞数: 1)
沫沫江湖88：有意思 (点赞数: 1)
朵朵姐姐家 ：你好萝卜 (点赞数: 2)
幸运小滴夺 ：嗓音好听，多说 (点赞数: 3)",130
"我们打了萝卜快跑，佩服它的勇气，竟然在水乡片试运营

在华南mall的掉头路口卡了得有5分钟

肉妈说先不要上车，太羞耻了，她不知道在那也不能上车，萝卜得到停车点才能上

路人（图2）都拿出手机拍了，好像在说，你看这车被卡在这了，所以我说佩服它的勇气，谁曾想路口竟然有个锥桶，它在","billy电车日记：这个车难道不是有人在远程遥控吗 (点赞数: 3)
首席线索官：改天我也试试看。 (点赞数: 1)
Navis-慢点评测：广东也有了？ (点赞数: 1)
开电车的昌老司：哈哈哈 (点赞数: 1)
拆那奥拓：什麼時候來？帶你去坐waymo (点赞数: 1)
北山北峰 ：哈哈哈 (点赞数: 1)
Agoer冲冲 ：一直在华南mall周边，天天上班看到 (点赞数: 1)
周丶晏杨 ：沙田有没有？好想打一台玩玩 (点赞数: 1)
YR_AMOY ：如果乘客受不了了自己坐到驾驶座上开会如何？ (点赞数: 1)",54
"作为海南国资体系内重要的汽车运输服务上市企业，海汽集团在海南交通运营领域具备显著优势。公司拥有多元化客运业务板块，并持有网约车运营资质，是海南交通出行市场的核心参与者。

2025年4月15日，海汽集团迎来重要战略布局，与百度旗下的阿波罗智行、萝卜快跑达成深度合作，三方共同签署《自动驾驶","寒夜柠檬 ： (点赞数: 1)
小卷mama918：(点赞数: 1)",145
"今天头一次做自动驾驶，感觉棒棒的。

手机下单萝卜快跑，走到指定地点，输入手机后四位，自动开门，关上后车子就自动开起来了。里面一个人都没有，哈哈，车子自动开。感觉驾驶平稳，没有啥异常，老司机一样。

到达地点下车拜拜，看着它远去的身影，不由得发出感叹，科技改变生活呀。","后浪S1：你好，很高兴为你服务，请系好安全带我们出发了 (点赞数: 1)
财FR2318：没体验过，是不是自己一直盯着前方 (点赞数: 1)
魔法少女小糖：真科技改变生活 (点赞数: 1)
财米哥：有没有害怕的赶脚？ (点赞数: 1)
思远-慕源-187：北京有了萝卜快跑了。 (点赞数: 1)
财啊美：有点害怕不敢坐 (点赞数: 1)
健康常伴w财满亿足：挺特别的体验 (点赞数: 1)
唱与你我：老友技术秀翻天，自动驾驶走起如神游！加油，老友！ (点赞数: 1)
财满满溢：周二快乐，一起贴贴，好先进 (点赞数: 1)",9
指数昨天继续上行，成交量也配合，放到到1.45万亿。市场本身做多热情还是不错的。对季末流动性紧张的担忧也没有太大影响，市场反而在预期7月一定概率降准，这和联储的表述基本一致。只要外围7月开始降息，且今年降息两次，那么货币的空间就会被打开。昨天鲍威尔的表述不外乎是现在联储还没有完全对关税,"大道至简-777 ：大三浪主升快要来了 (点赞数: 16)
哆啦A梦和小熊仔 ：为什么右上角没有“听”的符号了，这可是我上班路上必听的哎 (点赞数: 6)
风笛起渔舟 ：其实只要每年盈利超过4%，就及格了 (点赞数: 11)
子情8268 ：主任早上好，祝主任身体健康。每天早上看主任的文章，不管自己能看懂多少，总能有收获。谢谢！ (点赞数: 8)
zin02 ：1 (点赞数: 2)
南岳星大汉 ：字都认得，不晓得自己昨整就是！ (点赞数: 6)
Kakas_ ：迟早会来小a的 (点赞数: 5)
朗朗爸比 ：主任早，目前看下写盘的，就主任写当下的题材真实的现状以及未来的发展的点，还有好多人黑主任，无语。 (点赞数: 2)
小黃油夫人：[锦鲤附体] (点赞数: 3)",4150
"今天又再走了一次大一常走的路🥹
晚上打了萝卜快跑回学校 在临湖饭堂随便吃了个饭
回宿舍和朋友们拍拍立得 认真作了本科最后的告别
收拾一下东西 住在宿舍最后一晚了

要再见了 这次是真的在宿舍的最后一晚
很多东西我都不会带走了
那些零零碎碎的 都会随着我的过去一起被搁下
那些用过的一切 我都还",Ginghoster爱吃生姜 ：你值得 (点赞数: 1),11
萝卜快跑就是最伟大的发明,,2
也是坐上了萝卜快跑，没有一丝害怕，全是兴奋萝卜快跑 L改个ID转个运的微博,,2
我不行了，一直不敢坐萝卜快跑，今天坐了之后发现其实比某些司机安全,,2
萝卜快跑 下次定位不要飘太远了，准确定位还得走一段,,1
现根本干不需要那么人，现在很多的小孩都不应该来到这个世界上，中美关系贸易战就是因为中国人太多那么多人上班生产那么多产品而且大多是出口所以美国才要和中国打贸易战.归根到底就是人太多了，而且现是自动化智能化时代很多事情都是不需要人做的，像前段时间百度搞的无人出租萝卜快跑.就被很多出租司,,1
🚗萝卜快跑，未来已来！无人驾驶时代，让我们一起探索智慧交通的无限可能。萝卜快跑,,2
【特斯拉追不上百度 】特斯拉 超级AI工厂 百度 特斯拉和萝卜快跑你选谁 斯克的特斯拉自动驾驶出租车（Robotaxi）终于在奥斯汀上路了。10辆Model Y，副驾坐个安全员，限定区域跑，单次收费4.2美元。消息一出，资本市场狂欢，马斯克说这是“十年努力的巅峰”。但盯着数据看了半天，突然发现,,4
碰见一辆萝卜快跑，当看见它无人的驾驶位还是蛮震撼，有种未来感。,,2
"特斯拉Robotaxi
Vs
萝卜快跑

特斯拉Robotaxi正式上线","苏腾心 ：一个真正的无人，一个后台直接远程接管。 (点赞数: 10)
队长会开车 ：不标上萝卜我还以为驾校模拟训练呢 (点赞数: 11)
栗悟饭- ：特斯拉不能远程接管？ (点赞数: 3)
这也得鼓掌 ：但微博搜不到首日😄😄 (点赞数: 2)
莫尔盐111111 ：哈哈哈哈哈哈哈哈哈哈 (点赞数: 3)
评论罗伯特：萝卜快跑，别让特斯拉Robotaxi追上啦！滴滴滴，绿色出行，智能驾驶，咱们国产的自动驾驶也要加油哦~ (点赞数: 1)
一颗幻想的种子 ：萝卜也很厉害 (点赞数: 1)
Bling_rl：照这么看，我想去萝卜快跑这跟我当年花大价钱买外设玩欧卡二有什么区别，还有钱收 (点赞数: 2)
涛mraz ：真没必要，大家都一样 (点赞数: 1)",135
"媒体评萝卜快跑抢网约车司机饭碗【萝卜快跑抢网约车饭碗？“砸烂”一定不是最优解】无人驾驶出租车，真的会抢走网约车司机的饭碗吗？这个问题特别像，AI会取代我的工作吗？1公里1块钱的无人出租车你敢坐吗

近期，随着萝卜快跑在武汉街头批量投用，关于它的负面舆论几乎没消停。“它只会傻傻的在原","特种熊多多 ：生产力大大提升了，生产关系不改变当然不行。 (点赞数: 386)
潇湘晨报96360 ：“岗位替代”焦虑，甚至连外卖员都在担忧，未来是不是会出现“无人车送外卖”。 (点赞数: 104)
林大胖爱吃肉 ：虽然可以24小时接单，但是也要充电吧中间！以他们的速度会不会之后造成道路更拥堵了，感觉把命交给AI很担心 (点赞数: 67)
恋上37度半 ：中国14亿人，却拼命发展无人AI (点赞数: 181)
扣扣扭 ：还有这个里面主持人可能也会被AI取代。现在已经有电商开始了AI直播，所以主持人记者编辑也不会幸免。看似无关，其实都是下一个自己 (点赞数: 139)
PHNX-Y ：怀念当年没有网约车 没有共享单车的日子，那时可以肆意拒载 绕远 拼车以及坐地起价，还不用开空调 (点赞数: 123)
魅肆摄 ： (点赞数: 6)
晨 ：媒体评萝卜快跑抢网约车司机饭碗 (点赞数: 4)
来了就好越来越好2023 ：不去取代体制里可有可无的岗位，专抢一些中年人上有老下有小的饭碗。 (点赞数: 36)",2659
